gps_num,ca_delay,p_delay,check
1,5,1,1440
2,6,2,1620
3,7,3,1710
4,8,4,1744
5,17,5,1133
6,18,6,1455
7,139,7,1131
8,140,8,1454
9,141,9,1626
10,251,10,1504
11,252,11,1642
12,254,12,1750
13,255,13,1764
14,256,14,1772
15,257,15,1775
16,258,16,1776
17,469,17,1156
18,470,18,1467
19,471,19,1633
20,472,20,1715
21,473,21,1746
22,474,22,1763
23,509,23,1063
24,512,24,1706
25,513,25,1743
26,514,26,1761
27,515,27,1770
28,516,28,1774
29,859,29,1127
30,860,30,1453
31,861,31,1625
32,862,32,1712
33,863,33,1745
34,950,34,1713
35,947,35,1134
36,948,36,1456
37,950,37,1713
